run_id,run_name,state,created_at,step_count,config/env_name,config/seed,eval/success
2si2ujqf,tool_hang_OR0.0_clip_F_SB_Tseed1209151223,running,2025-12-10T16:59:54Z,909832,tool_hang-ph-low_dim,1209151223,0.015625
gfa716tz,tool_hang_OR0.0_clip_F_SB_Tseed1209151220,running,2025-12-10T16:27:01Z,1279992,tool_hang-ph-low_dim,1209151220,0.0
2idezulf,tool_hang_OR0.0_clip_F_SB_Tseed1209151216,running,2025-12-10T16:14:29Z,961888,tool_hang-ph-low_dim,1209151216,0.234375
w4c4zdgq,tool_hang_OR0.0_clip_F_SB_Tseed1209151212,running,2025-12-10T11:22:08Z,2530320,tool_hang-ph-low_dim,1209151212,0.328125
0r43acob,tool_hang_OR0.0_clip_F_SB_Tseed1209151208,running,2025-12-10T10:12:49Z,2730080,tool_hang-ph-low_dim,1209151208,0.0
fupap61f,tool_hang_OR0.0_clip_T_SB_Fseed1209151152,running,2025-12-10T09:38:40Z,2717768,tool_hang-ph-low_dim,1209151152,0.25
d7a16mow,tool_hang_OR0.0_clip_T_SB_Fseed1209151148,running,2025-12-10T09:35:09Z,2747752,tool_hang-ph-low_dim,1209151148,0.328125
sjjhrnkq,tool_hang_OR0.0_clip_T_SB_Fseed1209151147,running,2025-12-10T02:30:45Z,3233024,tool_hang-ph-low_dim,1209151147,0.390625
ytqw98m6,tool_hang_OR0.0_clip_T_SB_Fseed1209151144,finished,2025-12-09T22:53:59Z,3400008,tool_hang-ph-low_dim,1209151144,0.375
fsgjg0ue,tool_hang_OR0.0_clip_T_SB_Fseed1209151142,finished,2025-12-09T21:17:25Z,3400008,tool_hang-ph-low_dim,1209151142,0.1875
wxrjxdh1,tool_hang_OR0.0_clip_F_SB_Fseed1209151135,finished,2025-12-09T20:23:54Z,3500008,tool_hang-ph-low_dim,1209151135,0.25
z37wv6s0,tool_hang_OR0.0_clip_F_SB_Fseed1209151128,finished,2025-12-09T20:23:52Z,3500008,tool_hang-ph-low_dim,1209151128,0.5
op7yry83,tool_hang_OR0.0_clip_F_SB_Fseed1209151121,finished,2025-12-09T20:23:52Z,3500008,tool_hang-ph-low_dim,1209151121,0.46875
go9uwrpv,tool_hang_OR0.0_clip_F_SB_Fseed1209151123,finished,2025-12-09T20:23:52Z,3500008,tool_hang-ph-low_dim,1209151123,0.40625
4l1x1v0l,tool_hang_OR0.0_clip_F_SB_Fseed1209151131,finished,2025-12-09T20:23:52Z,3500008,tool_hang-ph-low_dim,1209151131,0.296875
g17rrmny,square_OR0.0_clip_T_SB_Tseed1207144839,finished,2025-12-09T11:22:17Z,3050004,square-mh-low_dim,1207144839,0.9375
2v3ou8p1,square_OR0.0_clip_T_SB_Tseed1207144837,finished,2025-12-09T10:25:00Z,3040004,square-mh-low_dim,1207144837,0.71875
vavmr6i2,square_OR0.0_clip_T_SB_Tseed1207144835,finished,2025-12-09T07:39:16Z,3040004,square-mh-low_dim,1207144835,0.953125
6m8yvgbc,square_OR0.0_clip_T_SB_Tseed1207144833,finished,2025-12-09T06:48:55Z,3040004,square-mh-low_dim,1207144833,0.875
lnsnne9l,square_OR0.0_clip_T_SB_Tseed1207144830,finished,2025-12-08T23:25:54Z,3040004,square-mh-low_dim,1207144830,0.953125
ww3foifm,square_OR0.0_clip_F_SB_Tseed1207144729,finished,2025-12-08T22:53:09Z,3500004,square-mh-low_dim,1207144729,0.5
vjvjg7pv,square_OR0.0_clip_F_SB_Tseed1207144727,finished,2025-12-08T19:23:33Z,3500004,square-mh-low_dim,1207144727,0.625
s0krvfta,square_OR0.0_clip_F_SB_Tseed1207144725,finished,2025-12-08T18:42:46Z,3500004,square-mh-low_dim,1207144725,0.65625
gpvlgulq,square_OR0.0_clip_F_SB_Tseed1207144723,finished,2025-12-08T18:29:40Z,3500004,square-mh-low_dim,1207144723,0.546875
i2usxcqg,square_OR0.0_clip_F_SB_Tseed1207144720,finished,2025-12-08T14:28:05Z,3500004,square-mh-low_dim,1207144720,0.75
g6afljvq,square_OR0.0_clip_T_SB_Fseed1207144619,finished,2025-12-08T11:47:17Z,3040004,square-mh-low_dim,1207144619,0.921875
ne801mp9,square_OR0.0_clip_T_SB_Fseed1207144617,finished,2025-12-08T07:46:16Z,3030004,square-mh-low_dim,1207144617,0.96875
8g2k5spe,square_OR0.0_clip_T_SB_Fseed1207144615,finished,2025-12-08T07:21:39Z,3040004,square-mh-low_dim,1207144615,0.890625
mxzlbfbs,square_OR0.0_clip_T_SB_Fseed1207144613,finished,2025-12-08T07:09:35Z,3040004,square-mh-low_dim,1207144613,0.96875
uv93etyh,square_OR0.0_clip_T_SB_Fseed1207144610,finished,2025-12-07T19:47:27Z,3030004,square-mh-low_dim,1207144610,0.984375
pg7b5664,square_OR0.0_clip_F_SB_Fseed1207143017,finished,2025-12-07T19:44:21Z,3500004,square-mh-low_dim,1207143017,0.5625
bb1hihze,square_OR0.0_clip_F_SB_Fseed1207143019,finished,2025-12-07T19:44:21Z,3500004,square-mh-low_dim,1207143019,0.96875
oydset1q,square_OR0.0_clip_F_SB_Fseed1207143013,finished,2025-12-07T19:43:58Z,3500004,square-mh-low_dim,1207143013,0.921875
nkq9ix4q,square_OR0.0_clip_F_SB_Fseed1207143015,finished,2025-12-07T19:43:53Z,3500004,square-mh-low_dim,1207143015,0.9375
1yhvjxy0,square_OR0.0_clip_F_SB_Fseed1207143010,finished,2025-12-07T19:43:51Z,3500004,square-mh-low_dim,1207143010,0.78125
ugpc2lvq,dsrl_transportseed1203013110,killed,2025-12-04T02:31:36Z,8064872,transport-mh-low_dim,1203013110,0.046875
3j37w2pe,dsrl_transportseed1203013110,killed,2025-12-03T20:19:58Z,1044280,transport-mh-low_dim,1203013110,0.1
ci6qfeqc,dsrl_squareseed1203012810,finished,2025-12-03T20:19:57Z,3500004,square-mh-low_dim,1203012810,0.8
